tweet,prediction,label,class,index
"A 100 companies are responsible for more around 70 of historical emissions.. tell that to Mr. inequality, and he'll drop dead instantly !!

https://t.co/ijK9M8ZdTo

#FossilFuels
#ClimateCrisis
#FossilFuelSubsidies
#FridaysForFuture
#stopfossilfuel
#ClimateChange
#SavetheBees",1,0,wrong-label,16984
"JASON SMITH ...THE WHOLE WORLD IS IN A FUEL CRISIS BECAUSE OF THE WAR LAUNCHED BY PUTIN, AND A FOOD CRISIS FROM BOTH THE WAR AND CLIMATE CHANGE  #sunrisemvmt #ClimateCrisis #WaterIsLife #ClimateEmergency #Globalwarming #FridaysForFuture #Youth4Climate #ActOnClimate",0,1,wrong-label,17187
"The corporate greed is destroying the earth, benefiting from the unjust system of colonialism and imperialism. Only global solidarity can defeat it and win a world where we prioritize #PeopleNotProfit. 
#FridaysForFuture #ClimateStrike #EarthDay https://t.co/C8puNkuFdQ",1,0,error,17303
"Pinochet=NO🇬🇧#PCSCBill🇨🇦#EmergenciesAct
Feminist+Ecologist+PlurinationalRepublic=YES #ActNow #UprootTheSystem #ecocide🔥#war https://t.co/GZGTxdNN3C 
Govt+SystemsChange=PlanetarySurvival+Citizens Assemblies=OurOnlyHope #FridaysForFuture #ExtinctionRebellion #greenpeace",1,0,unclear,17573
"#ClimateCrisis #deniers always use the same excuses.🤨

Here, Matthew uses excuse #2: ""It's not us!"" to sow doubt about the abundant #evidence of manmade #climatechange.📊🤔

See my quoted tweet below for examples of the full #6stages of denial.⬇️

#FridaysForFuture #JustStopOil https://t.co/hrATyckAZt",0,1,wrong-label,17640
By no means do young people have the social &amp; structural CAPACITIES to stand a chance against the threat that is runaway climate breakdown. Not to say that they actually did gang up and did ANYTHING in their power to deal with the problem. Look at @sunrisemvmt &amp; #FridaysforFuture,1,0,unclear,17748
"#Australia needs more environmentalists 
Scotty is a fossil fuels industry puppet.
Elect climate leaders and dump climate deniers 
#ActOnClimate #AusPol2022 #ClimateCrisis #environment #ExtinctionRebellion #FridaysForFuture #FFF",1,0,unclear,17772
"“Strike For Next Generations, The Next Generations will Thank You.”
#PeopleNotProfit #UprootTheSystem #FridaysForFuture
#GlobalClimateStrike #ClimateStrike #StandForPlanet #ClimateStrike https://t.co/nAFi4jWR1V",1,0,error,17945
https://t.co/ubNuTkMZy6 CARBON REMOVAL ISN'T THE SOLUTION TO CLIMATE CHANGE #StopShityFossilFuelSelfFulfillingProphecies #IStandWithUkraine🇺🇦 #RootCausesClimateCrisis #Corruption #EndSARS #FridaysForFuture #EU,1,0,unclear,17949
"@GretaThunberg Dear Greta,
No one should be surprised. Oh, and it's only going to get worse. Tick-tock humans.
#1BillionClimateVoices
#FridaysForFuture https://t.co/wa4tCjcjTU",0,1,wrong-label,18014
"With every lie they’ve told, it’s our future that they’ve sold.

Week 50!! #ClimateStrike #FridaysForFuture #PeopleNotProfit https://t.co/nATjq2ICKc",1,0,unclear,18224
"School strike week 219. #FridaysForFuture #ClimateStrike #PeopleNotProfit #ClimateBreakdown

🚨🌍🔥🌊 It's Individuals such as: Julia Hartley-Brewer, ""SHAME ON YOU!"" #RT
Blog -
https://t.co/4AjlhhS38x

🏷 @JuliaHB1 - @GretaThunberg @Fridays4future https://t.co/uVi7t9hze6",1,0,unclear,18231
"It’s raining and Im freezing my ass of in #Uganda. Meanwhile my mom is sweating like a pig in Sweden. Last month thousands of people died in Europe due to heat. The cause? Many reasons, scientists say. Ignorance to climate change won’t save lives. #FridaysForFuture",0,1,wrong-label,18265
"Why are powerful men so scared of Greta Thunberg?

The #FridaysForFuture
movement and the idea that we'd all have the gall to conduct a #ClimateStrike every Friday frightens and infuriates plutocrats. 
 https://t.co/gypA0AOl30",1,0,error,18413
"I am very excited to join the worldwide #ClimateStrike / #GlobalClimateStrike . 
RETWEET to spread the word.
#FridaysForFuture #PeopleNotProfit",1,0,error,18796
"The Russians never had wasted a single thought about environment... 
#FridaysForFuture
#environment
#UkraineRussianWar
#Russia",1,0,error,18822
"If you are unhappy about the lack of serious climate-positive actions, put pressure on politicians. Show your anger every #FridaysForFuture at 11 a.m. in front of Queen's Park and every other legislature and city hall in the world. Politicians are convinced that we don't care.",1,0,error,18842
"Fossil companies, yielded power by the media and the politicians they bought .. 
I too weep for the children.   Many young people figured it out before their parents - how bad it was.
#FossilFuels #FridaysForFuture 
We must join them when they fight back (  quote @GeorgeMonbiot _ https://t.co/h1X1s7ERL4",1,0,error,18939
"We can combat all the greenwashing ad money in the world because we have the one thing that Shell and the other climate criminals don't have, votes. Demand climate action every Friday at 11 a.m. in front of our legislatures and city halls. #FridaysForFuture",1,0,error,19117
"PEACE, LOVE, HEART

to end the madness of this world that invests trillions in destruction and death instead of in caring for people and for Nature. 

https://t.co/9QgDw83EQ6

#climatechange #climatecrisis #climateaction #climatejustice #fridaysforfuture #Nature #COP27 #Climate https://t.co/e7latWapDw",0,1,wrong-label,19120
"It is now clearly the outright negligence of the #GlobalNorthGovs

PAUSE NON ESSENTIAL #FOSSILFUELS to at least 50%

Infrastructure will break,it will happen ""naturally"" anyway,it will be beyond repair resources we are wasting now

#PauseFossilFuels IMMEDIATELY

#FridaysForFuture",1,0,error,19149
"@SFontii The article is a lie!

The deforestation of this forest (""Hambacher Forst"") happened for the most part 4 years ago. A remainder was occupied by environmentalists to protect the forest. #GretaThunberg has shown solidarity with these environmentalists.

#FridaysForFuture https://t.co/TEyWOMg1fm",0,1,wrong-label,19219
"World leaders can rise to the challenge before it is too late. Climate change is not an alien invasion; we did this to ourselves. #ActNow 
#FridaysForFuture #ClimateStrike #PeopleNotProfit https://t.co/NmDaRA3EDh",1,0,error,19311
"Instead of targeting the AB legislature, #FridaysForFuture rallies should be outside the home of the Cenovus Energy CEO, Alex Pourvaix. Give him the Burn-the-Planet Greed Award.

https://t.co/HmP7uk3kFn",1,0,wrong-label,19432
"@endelstamberg @act_nowclimate @PTrebaul @TomsTweeters @Leyse65081133 @fischerdata @FFFMapCount @FFF_SAJ @Steffenster @stefangsaenger @WeNaturalists @NayonSorkarBD @twongirwe_ireen @YGCUganda @WWindEA @wiligl @ExtinctionR_SV @Thakrarkhelan @redmayne_robert @VipinSangwanVS @arifismail0 @voicetopeople @yamunajiye @rwclimate @ShreyaTuli_ @IvyKriss @WakioDorcas @mrEmTee @thekopargaonkar @DenisNishant @ArunYadav0007 @sachinjacobk @parents4future @madlove_love @fridays_india @releaf4us @SwedishPM @fff_sssat @AdamSrigley @arhogan @ArubaFaruque @Mrs_Dalloway_ @fff_tui @AnnaTermine2 @BespokePanic @GeraldKutney @vanessa_vash @GretaThunberg @CrisisWatch_WWF @JosephSabek With thousands of people, including scientists, we demand action to save our climate!

Only #ClimateCriminals ignore us &amp; the science?

Week 191
April 15

#Twiff, 2, #FridaysForFuture, #Sweden, Svedmyra https://t.co/3kkVctMBxX",1,0,error,19436
"today it's the 217th week of #FridaysForFuture and i just wanna say that this whole thing is [great, but] unrealistic SHITS for many kids out there😇 @GretaThunberg",1,0,wrong-label,19577
"Climate financing in Africa is very disorganized with the funds rarely reaching grassroot orgs, this needs to CHANGE.@KCCWG @EUinKenya @GeraldKutney @ClimateWed @IYCM @UNFCCC @NetForCommDev @VSOKenya @PACJA1 #ClimateEmergency #ClimateCrisis #ClimateAction #FridaysForFuture",0,1,wrong-label,19617
"#FridaysForFuture If you get your energy from #Shell #BP or any of the big profit guzzlers that take resources out of poor communities while clogging them with waste and pollution, please see if you can find an alternative supplier that does more for the environment and community",0,1,wrong-label,19685
"Since @JustinTrudeau and @s_guilbeault climate action plans are grossly insufficient and riddled with lies, this is the only avenue left. For 22 weeks, we have been every #FridaysForFuture from 11 to noon at the south end of Queen's Park. Only two people have joined us, once each",1,0,unclear,19706
"No climate without Victory. 
Criminals are just that, once in power, they will burn it out until last tree...
#ClimateEmergency #ClimateCrisis #ClimateAction #ClimateActionNow #FridaysForFuture",1,0,wrong-label,19790
"Where will #Refugees from our #FossilFuel burning go?

#ClimateChange means:
More water in wet areas, so far fewer humans can live there!

Less water in dry areas, so are fewer humans can live there!

#ClimateCrisis #Ecocide #Fridaysforfuture
https://t.co/M4NYstxxy2",1,0,error,20166
"Welcome to the world of extreme heat, extreme floods, extreme inclement weather, extreme heatwaves, extreme conflagrations, and .. extreme daft idiocy!!

https://t.co/PsfBBamgd6

#FridaysForFuture
#ClimateCrisis
#ClimateDenial
#EndFossilFuels
#ClimateTalk
#stopfossilfuel",1,0,wrong-label,20395
