tweet,prediction,label,class,index
"#FridaysForFuture #ExtinctionRebellion 
How Naomi Klein, Josh Fox, 
George Monbiot, Ketan Joshi, and many more lie to us

Every day. On #ClimateChange &amp; #GlobalWarming!

It's #Greenwashing &amp; these people keep lying to us about real green technology emissions, #ClimateAction:",2,3,wrong-label,11508
"Global Climate Strike in Feni! 
✅ loss &amp; damage,Finance now‼️
#PeopleNotProfit 
#globalstrike2022sep 
#ClimateAction 
#FridaysForFuture 
#climatejustice 
#ClimateEmergency 
#ynsyl_we_are_unique 
@YouthNet4CC @Fridays4future

@GretaThunberg @SohanBMYP https://t.co/yKWiZvOape",1,3,wrong-label,11516
"The youth #climatestrike is back! After a two year hiatus due to the pandemic, youth around the world are once again marching in the streets, demanding that their leaders  do far more to address the rapidly worsening climate crisis. #FridaysforFuture https://t.co/dr3xJ9II4u",1,3,wrong-label,11517
"The government is considering bringing back climate-wrecking fracking in England. Will you ask your MP to say no to #fracking + back home insulation &amp; renewable energy instead? https://t.co/T90Dz7DczT #cop26 #cop27 #youth #generationrestoration 
#Fridaysforfuture #climatejustice",1,3,wrong-label,11574
So ...Do you think the Republican party will give up on climate denial or fade from existence? ...because those are the options #SenateDemocrats #Globalwarming #FridaysForFuture #Youth4Climate #GreenNewDeal #ActOnClimate #CleanEnergyJobs #EnergyTransition,1,3,wrong-label,11576
"The ‘answer to all the multiple #energy and #climate problems’ in view of the @FT editorial board is to ‘reduce oil demand and speed up the dash to sustainable, green sources. Real efforts, which have so far barely begun’. #FridaysForFuture &amp; #ClimateStrike’s new allay?😎",1,3,wrong-label,11598
"@NationalGridESO @RoyalFamily + allowing #Fridaysforfuture burning of biomass/forests/wood pellets at Drax @draxgroup et al is not decarbonisation; its greenwashing #netzero #NDCs #attackonnature #freeAlaa @Royalfamily #naturalcapital #biodiversityloss #generationrestoration @COP26 #esg
#Earthshot to pieces",2,3,wrong-label,11625
"Week 73 for climate justice.
#FridaysForFuture 
#ClimateActionNow 
#StandUpForJustice https://t.co/j4qi0noO1l",1,3,wrong-label,11649
The #dreadlocks has made it into German mainstream discourse thanks to #FridaysforFuture and cis-white men won’t stop dominating the discourse saying how “ridiculous” they find it instead of shutting up and listening from those whom this is about!,1,2,error,11744
"School Strike for Climate
Week 35.
#PeopleNotProfit
#ClimateActionNow 
#FridaysForFuture
@Riseupmovt https://t.co/sk1bVFfD97",1,3,wrong-label,11806
"When the German Auto Industry is telling you not to drive #GoCarFree #bikedontdrive you must know your addiction to fuel is so bad it's fueling wars, killing everything including the future of the planet and anythings existence on it. #StopEcocide #fridaysforfuture",1,3,wrong-label,11814
"🗣 As the Swedish teenager promotes her new book on climate change, here's how @gretathunberg built the global #FridaysForFuture movement
https://t.co/nQ29ZQpPKg",3,1,wrong-label,11838
"#BrexitBenefits School strike week 209. #FridaysForFuture #ClimateStrike #PeopleNotProfit #SchoolStrike4Climate 
""As my voice and youth voices is required. To be unmuted &amp; Heard in Society!"" - #WorldLeaders  #blindfoldchallenge #YouthVoiceMatters https://t.co/rleVTuOgsQ https://t.co/V5BvWJ8buI",1,3,wrong-label,11848
"CA ACTION ALERT!

Tomorrow: Coming to a City Near You!

#COP27 is just around the corner and Californians are uniting their voices with people around the world to demand climate reparations and justice for the world’s #MAPA. 

#FridaysForFuture #PeopleNotProfit https://t.co/L38CV4C8tV",1,3,wrong-label,11861
"Six key lifestyle changes can help avert the climate crisis, study finds

https://t.co/q5yRNQ5xDa

#ClimateCrisis
#MatOchKlimat
#ClimateTalk
#FridaysForFuture
#StandWithUkraine️
#stopfossilfuel
#ClimateChange
#BeLikeWater
#SavetheBees",3,1,error,11898
"A guide on to How to Accelerate a Comprehensive Response to the Ecological Crisis

https://t.co/Gt5aIlJpj7

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#Klimatalliansen
#ClimateAlliance
#twiff
#ClimateTalk
#StandWithUkraine️
#stopfossilfuel",1,3,wrong-label,11910
School strike week 106 #FridaysForFuture #ClimateStrike #PeopleNotProfit #SchoolStrike4Climate https://t.co/pqf0nPc11x,1,3,wrong-label,11955
"Thank you, @WeDontHaveTime, for bringing us to share our story of the #ClimateCrisis in the #Arctic🐻‍❄️

#FridaysForFuture 🌿
#ClimateAction",1,3,wrong-label,11965
"Use of the #FridaysForFuture #map has been declining. After talking to some people we found out not many people know what the @FridaysForFuture map is for. The next few weeks we will inform you what the FFF map is for and why it's important!
Keep watching this channel! https://t.co/bqCFqRzaXs",3,1,wrong-label,11978
"Neues vom #Klimaschwindel.  EARTH’S TEMPERATURE SAW A SHARP DROP IN JUNE, AS DID SOLAR ACTIVITY. #Klimaerwärmung #Klimakatastrophe #Klimakrise #Klimawandel #FridaysForFuture  https://t.co/78w3TH88b1",2,3,wrong-label,12016
@fff_ukraine @ilyess_ek 🐺🌍🌏🌎https://t.co/fWEtk1gf8r SHIVERS Ed Sheeran GLOBAL CITIZENS https://t.co/NRmV4xF0mr  https://t.co/stWb5oDt39 'DIGGING OUT' ROTTEN ROOTS OF GOVERNMENT MISMANAGEMENT UK IN OUR CLIMATE CRISIS #Fraud #EndSARS #JohnsonOut38 #FridaysForFuture #Cronyism https://t.co/R1xWcsyl73,1,3,wrong-label,12054
"What else could we want as proof to the dire and exigent #ClimateEmergency ? 

https://t.co/NsK4vlx8jC

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#Klimatalliansen
#ClimateAlliance
#twiff
#ClimateTalk
#StandWithUkraine️
#stopfossilfuel",1,3,wrong-label,12057
"@GretaThunberg I agree, @GretaThunberg, #EarthDay is a day of existential contradictions as are other commemorative days like #RemembranceDay, #HolocaustRemembranceDay. #NeverForget was vacuous from its very conception.
Nevertheless, #GretaThunberg and #FridaysForFuture stay the course!",1,3,wrong-label,12064
"#FridaysForFuture  #ExtinctionRebellion 
How Naomi Klein, Josh Fox, 
George Monbiot, Ketan Joshi,  and many more lie to us

Every day. On #ClimateChange &amp; #GlobalWarming!

It's #Greenwashing &amp; these people keep lying to us about real green technology emissions, #ClimateAction:",2,1,wrong-label,12069
A local chapter of #FridaysForFuture is holding weekly rallies outside Vancouver City Hall. Read about that and other local news: https://t.co/TViBUjh5kK #vanpoli,3,1,wrong-label,12085
"Climate strike week 77. 🌏🪧
#FridaysForFuture #PeopleNotProfit @Fridays4future @FFFUnitedStates @POTUS @GovChrisSununu https://t.co/36PthKfW7x",1,3,wrong-label,12119
"There is no #ClimateJustice without #RacialJustice 
#FridaysForFuture 
#ClimateStrike https://t.co/HwZ5qlMXhd",1,3,wrong-label,12147
I’m doing whatever the heck I want to do today. A long hike might just be in order. Prayers for nature. #FridaysForFuture #ClimateCrisis #ClimateEmergency #ClimateAction #ThisIsStolenLand #LandBack #IndigenousPeoplesDeserveJustice #WrongDirection #RacismSucks #,3,1,error,12159
"#FridaysForFuture Fast fashion has some very big impact on our enviroment. Did not know 20% of all plastics we create are clothes 😮 

People always jumping on air transport pollution while clothes make almost 10% of all global carbon output 😒

Great article @climate 👌",3,1,unclear,12195
"Elections matter.  Stop electing climate deniers and fossil fuels industry puppets.
#PeopleNotProfit #ActOnClimate #Australia #auspol #ClimateCrisis #ExtinctionRebellion #environment #FFF #FridaysForFuture",1,3,wrong-label,12234
"“Stop ocean plastic pollution”
#FridaysForFuture #StandForPlanet #UprootTheSystem #ClimateStrike https://t.co/WqtePpNziS",1,3,wrong-label,12250
"Well said, @James_BG (reminds me of the messages shared when the world entered lockdown in the early stages of #covid) - thanks @DoctorVive for this reminder of how profoundly inept our climate mitigation policies have proven to be. #climateEmergency #FridaysForFuture #StopPutin",1,3,wrong-label,12271
"Somebody in my building dispose of a microwave and car oil and didn't take it to the recycling center.
What would you do?
#FridaysForFuture #ClimateStrikeOnline #schoolstrike4climate #ClimateStrike #askgreta",1,3,wrong-label,12272
"#ActNow @theactionnet Wet'suwet'en Solidarity Event - Kill the Drill:https://t.co/oV8YYGJpsn 
Govt + Systems Change = Planetary Survival + Citizens Assemblies = Our Only Hope #ExtinctionRebellion #greenpeace #FridaysForFuture #ecocide🔥#war🇬🇧#PCSCBill 🇨🇦#EmergenciesAct",2,1,wrong-label,12277
"The size of undersea creatures seemed to follow a strange but stable pattern—until industrial fishing came along.

Uh-Oh!! Humans!!

https://t.co/nzBcpBx5Zg

#Pollution
#searubbish
#WaterPollution
#SaveOurSeas
#ClimateTalk
#FridaysForFuture
#stopfossilfuel
#ClimateChange",1,3,wrong-label,12286
Hope is what keep us going all the time and hope is what makes this life a worthy one. Have a fantastically awesome Friday!!! Good Morning!!!” #FridaysForFuture https://t.co/h9KDgnyn98,3,1,wrong-label,12308
"LAST 7 YEARS = HOTTEST 7 YEARS
in recorded history for global average temperature.

That should scare the SHIT out of you!🔥🔥🔥#climate #climatecrisis #climateaction #fridaysforfuture",1,3,wrong-label,12317
Throwback to one of my first climate strikes 🌎💚 #OscarStembridge #fridaysforfuture #climate #climatechange https://t.co/MvPwNdd5Ei,1,3,wrong-label,12367
"Climate crisis without climate action is dangerous
#ClimateActionNow 
#ClimateBrawl 
#FridaysForFuture 
@Sdg13Un @GeraldKutney @KambojAnanya @GretaThunberg @SarahBrownUK @vanessa_vash @Barbara_WGIC @MissKwaji @Joshomonukk @JanineClimate @endelstamberg https://t.co/z0IznkFSdX",1,3,wrong-label,12371
"“Justice is a permanent and lasting will that pays its due to every human being.”
(“Planet Earth Want Justice.”) 
#UprootTheSystem #StandForPlanet #ClimateAction #ClimateJustice #FridaysForFuture https://t.co/k4CMoTRacX",1,3,wrong-label,12374
"Happy Rainforest Day!
🌳Today is a great day to learn about #Conserve and how our #nfts are saving the world rainforest + making communities more resilient to #climatechange whilst having a return 👀https://t.co/64p7AotSH9 #WorldRainforestDay #FridaysForFuture #InvestInOurPlanet",1,3,wrong-label,12395
This is no joke. Losing species messes with the entire web of life. It also lessens resilience in the entire web. #ExtinctionRebellion #extinctioncrisis #ClimateCrisis #FridaysForFuture #climate #crisis @lucysiegle @GeorgeMonbiot,1,3,wrong-label,12403
".
Audit committees must take #climatechange ""a lot more seriously""
via @NatashaSpenJoll @AccountancyAge

https://t.co/Mh9Smj3QcR

#energy #climateaction #climate #renewables #netzero #RacetoZero #actonclimate  #ClimateEmergency #globalwarming #fridaysforfuture
#",1,3,wrong-label,12410
"No, we don’t need ‘miracle technologies’ to slash emissions — we already have 95 percent

https://t.co/sUJXUr70mf

#FridaysForFuture
#ClimateCrisis
#ClimateStrike
#ClimateDenial
#EndFossilFuels
#Klimatalliansen
#ClimateTalk
#stopfossilfuel
#ClimateChange
#BeLikeWater
#SavetheBees",1,3,wrong-label,12449
GretaThunberg: School strike week 214. #FridaysForFuture #ClimateStrike #PeopleNotProfit https://t.co/udNxhPEqGn,3,1,error,12469
"We must stop adding more fossil fuels to the climate fire 🔥 
Humans are so destructive. We are destroying the very air, land and water resources we need to survive.
#fossilfools #ClimateAction #ClimateCrisis #environment #ExtinctionRebellion #FridaysForFuture #gosolar #nocoal",1,3,wrong-label,12481
"For today's #FridaysForFuture I digged out an older dataset of #MakeoverMonday 2021W3 looking at raising temperatures 😱

Viz link: https://t.co/Df9HYd6wpe

@TriMyData
@VizWizBI
@tableaupublic #DataFam #Tableau #DataViz #DataVisualization #MOM2021 #GlobalWarming https://t.co/OdBwpxs34z",3,1,error,12489
Climate Strike Week 11: border walls could prevent wildlife from relocating to more hospitable areas as the climate changes. #climatestrike #fridaysforfuture #borderwall #biodiversity #climatestrikeonline https://t.co/bLijUmMxdv,3,1,error,12579
".
#ClimateChangeClimate change is top concern for Generation Z students
via @SpecNews1Triad

https://t.co/IhiTYAUVKK

 #FridaysForFuture
#GlobalWarming #climate #ClimateAction #ClimateCrisis #ClimateEmergency",3,1,unclear,12584
"#war
We are harming #nature.🌍
We are killing #humans.🩸
Womens are being #raped.❤️‍🩹
We are killing Humanity in war.🫂
Innocent animals are killed by us.😢
Even, if there will be #nuclearwar or not result will be same.
 @BeeAsMarine 
#WarCrimes #FridaysForFuture 
@ECOWARRIORSS https://t.co/C1FVZLUTsV",2,1,error,12656
"Rising sea levels will make coastal areas uninsurable 
Banks will stop making loans. Property with be unsellable.
Migration will increase 
#ClimateAction #ClimateCrisis #environment #ExtinctionRebellion #FridaysForFuture #nocoal #gosolar",1,3,wrong-label,12713
"Climate Strike for Girls Education and Future. 
#EducateGirlsForClimateJustice
#LetAfghanGirlsLearn
#FridaysForFuture
@Riseupmovt https://t.co/pIhlFQMB6v",1,3,wrong-label,12718
"#FridaysForFuture  #ExtinctionRebellion 
How Naomi Klein, Josh Fox, 
George Monbiot, Ketan Joshi, and many more lie to us

Every day. On #ClimateChange &amp; #GlobalWarming!

It's #Greenwashing &amp; these people keep lying to us about real green technology emissions, #ClimateAction:",2,1,wrong-label,12775
"RT @ClimateWorrier3: Climate protesting in school today! (Photo taken after.) #FridaysForFuture #PeopleNotProfit #ClimateStrike
When you un…",1,3,wrong-label,12783
"💚Watch as the Earth 🌍 breathing… 
The planet do it as you are … now it has wheeze dyspnea because of #ClimateCrisis and #carbonemissions 
🔴
 #ClimateAction #ClimateActionNow #FridaysForFuture #FFF 
Read more 👉 https://t.co/2YYMVmPmBG https://t.co/Px3T1KlqCW",1,3,wrong-label,12849
"CHRISTMAS - TIME to REFLECT

""Earth could have been Paradise""
""It still can be if we shake the War Tribe to shame""

https://t.co/zCZitUdwOC

#climatechange #climatecrisis #climateaction #fridaysforfuture #Nature #ClimateEmergency #ActOnClimate #fossilfuel #ChristmasGift https://t.co/Ac6QB3BzmB",1,3,wrong-label,12850
"#FridaysForFuture  #ExtinctionRebellion 
How Naomi Klein, Josh Fox, 
George Monbiot, Ketan Joshi,  and many more lie to us

Every day. On #ClimateChange &amp; #GlobalWarming!

It's #Greenwashing &amp; these people keep lying to us about real green technology emissions, #ClimateAction:",2,1,wrong-label,12904
"Lieblingsschild bisher: ""Destroy the patriarchy. Not the planet, people!"" 🔥✊

#PeopleNotProfit #Klimastreik #FridaysForFuture https://t.co/fpvUNZbHPP",1,3,wrong-label,12913
"Jim Cramer: Stay away from oil and gas stocks, I don't wan to touch it, stay away, no one wants oil https://t.co/Vs6DLZ1wcM , use better insulators in doors, #fridaysforfuture, look at @Dothegreenthing https://t.co/Apxwot66Wc",1,3,error,12920
"NSW is flooding again!

Is the @ausgov stepping up to do its fair share, and with its wealth, hopefully, even more than its fair share?

#ClimateCrisis #FridaysforFuture #NSW #auspol #floods #LunaPark
#ClimateChange is killing many already!

https://t.co/pajRVqZsuh",1,3,wrong-label,12934
🌍🌿👇 Solidarity Edwin...!✌️💚🌱 CLIMATE CRISIS IS NOT A JOKE: 🗣️📢🆘🌊🔥🌍🔥🌊🆘🌿 #UprootTheSystem ✊🗣️📢🌍🗣️📢✊ #FridaysForFuture 🗣️📢🌿🌍🌱 #DeadPlanetsDontOfferAFuture ⛔⛔🔥🌊🌍🌊🔥⛔⛔,1,3,wrong-label,12948
#FridaysForFuture tune for this week is “Friday on my mind” by The Easybeats. Do we think reducing our working week to 4 days is going to be enough or is degrowth the better option? https://t.co/vraRKODXHQ,3,1,wrong-label,12951
"I liked that tweet from @GretaThunberg:

School strike week 191. #FridaysForFuture #ClimateStrike #PeopleNotProfit #SchoolStrike4Climate https://t.co/AtsKI88HOe

— Greta Thunberg (@GretaThunberg) Apr 15, 2022

 - Check it out https://t.co/Yo00KuLnNj",1,3,wrong-label,12953
Digital climate strike week 3 #ClimateStrike #PeopleNotProfit #FridaysForFuture remember what's at stake https://t.co/NdrSYAx6VH,1,3,wrong-label,12954
"Scotland to the rescue! Wild salmon are dramatically declining in Scotland, in part due to climate change. 

Now, Scotland is planting millions of trees by rivers and streams to protect the fish and help lower water temperatures. #FridaysForFuture

https://t.co/YKzFVcVMYZ",1,3,error,12968
